Question,Answer
What is a fintech company?,"A fintech (financial technology) company uses technology to provide financial services — like digital lending, insurance, investing, or payments — faster and cheaper than traditional banks."
What is the Pradhan Mantri Awas Yojana?,"PMAY is a government scheme giving interest subsidies on home loans for economically weaker sections (EWS), low-income groups (LIG), and middle-income groups (MIG) to promote affordable housing."
What is the National Pension System?,"NPS is a voluntary, long-term retirement savings scheme regulated by PFRDA. You contribute during your working life and receive a pension after retirement. Contributions are tax-deductible."
What is the Employee Provident Fund?,EPF is a retirement savings scheme where both employee and employer contribute 12% of basic salary each month. The corpus earns 8.15% annual interest and is tax-free at maturity.
What is a dividend yield?,Dividend yield is the annual dividend paid by a company as a percentage of its share price. A higher yield means better income for investors relative to price.
What is a P/E ratio?,Price-to-Earnings ratio is the share price divided by earnings per share. A high P/E may mean the stock is expensive; a low P/E may signal undervaluation.
What is a rights issue?,A rights issue is when a company offers existing shareholders the right to buy additional shares at a discounted price to raise more capital.
What is a bonus share?,A bonus share is a free extra share issued by a company to existing shareholders from its reserves. The total value stays the same but the share price adjusts.
What is a stock split?,A stock split divides existing shares into more shares of lower face value. It makes the stock more affordable for small investors without changing total market value.
How do I check my bank balance?,"You can check your balance through your mobile banking app, net banking, ATM, SMS banking, or by calling your bank's helpline."
How do I transfer money to another bank?,"Use NEFT, RTGS, or IMPS through your mobile banking app or net banking. Just enter the recipient's account number, IFSC code, and the amount."
How do I block my debit card?,"Call your bank's 24x7 helpline, use the mobile banking app, or send an SMS as instructed by your bank. Your card will be blocked instantly."
How do I reset my net banking password?,"Click 'Forgot Password' on the net banking login page. Verify using your OTP, account number, or debit card details to set a new password."
How do I update my mobile number in the bank?,Visit your branch with a valid ID proof and fill a mobile number update form. Some banks also allow this online through net banking.
How do I request a new cheque book?,"Request online through mobile banking or net banking. Alternatively, submit a cheque book requisition slip at your bank branch."
